Name,URL,Target,Regression,Classification
mateusdmachado.csgo-professional-matches,www.kaggle.com/mateusdmachado/csgo-professional-matches/data,,FALSE,FALSE
christianlillelund.csgo-round-winner-classification,www.kaggle.com/christianlillelund/csgo-round-winner-classification/data,round_winner,FALSE,TRUE
mrmorj.data-police-shootings,www.kaggle.com/mrmorj/data-police-shootings/data,,TRUE,TRUE
shashwatwork.dataco-smart-supply-chain-for-big-data-analysis,www.kaggle.com/shashwatwork/dataco-smart-supply-chain-for-big-data-analysis/data,,TRUE,TRUE
rymnikski.dataset-for-collaborative-filters,www.kaggle.com/rymnikski/dataset-for-collaborative-filters/data,,TRUE,TRUE
uciml.default-of-credit-card-clients-dataset,www.kaggle.com/uciml/default-of-credit-card-clients-dataset/data,default.payment.next.month,FALSE,TRUE
hgiydan.detroit-crimeincidents20092016,www.kaggle.com/hgiydan/detroit-crimeincidents20092016/data,,TRUE,TRUE
devinanzelmo.dota-2-matches,www.kaggle.com/devinanzelmo/dota-2-matches/data,,FALSE,FALSE
devinanzelmo.dota-2-matches,www.kaggle.com/sukanthen/dream11-ipl2020-live/data,,FALSE,FALSE
lucabasa.dutch-energy,www.kaggle.com/lucabasa/dutch-energy/data,,FALSE,FALSE
benroshan.ecommerce-data,www.kaggle.com/benroshan/ecommerce-data/data,,FALSE,FALSE
shashwatwork.ecommerce-data,www.kaggle.com/shashwatwork/ecommerce-data/data,,TRUE,TRUE
danerbland.electionfinance,www.kaggle.com/danerbland/electionfinance/data,,TRUE,TRUE
ellipticco.elliptic-data-set,www.kaggle.com/ellipticco/elliptic-data-set/data,,FALSE,FALSE
ringhilterra17.enrichednytimescovid19,www.kaggle.com/ringhilterra17/enrichednytimescovid19/data,,FALSE,FALSE
futurecorporation.epitope-prediction,www.kaggle.com/futurecorporation/epitope-prediction/data,target,FALSE,TRUE
rushikeshhiray.esport-earnings,www.kaggle.com/rushikeshhiray/esport-earnings/data,,TRUE,TRUE
sagunsh.fifa-20-complete-player-dataset,www.kaggle.com/sagunsh/fifa-20-complete-player-dataset/data,,TRUE,TRUE
stefanoleone992.fifa-20-complete-player-dataset,www.kaggle.com/stefanoleone992/fifa-20-complete-player-dataset/data,,FALSE,FALSE
bryanb.fifa-player-stats-database,www.kaggle.com/bryanb/fifa-player-stats-database/data,,FALSE,FALSE
notlucasp.financial-news-headlines,www.kaggle.com/notlucasp/financial-news-headlines/data,,FALSE,FALSE
cjgdev.formula-1-race-data-19502017,www.kaggle.com/cjgdev/formula-1-race-data-19502017/data,,FALSE,FALSE
rohanrao.formula-1-world-championship-1950-2020,www.kaggle.com/rohanrao/formula-1-world-championship-1950-2020/data,,FALSE,FALSE
atharvap329.glassdoor-data-science-job-data,www.kaggle.com/atharvap329/glassdoor-data-science-job-data/data,,FALSE,FALSE
ikiulian.global-hospital-beds-capacity-for-covid19,www.kaggle.com/ikiulian/global-hospital-beds-capacity-for-covid19/data,,FALSE,FALSE
jealousleopard.goodreadsbooks,www.kaggle.com/jealousleopard/goodreadsbooks/data,,FALSE,FALSE
jpallard.google-store-ecommerce-data-fake-retail-data,www.kaggle.com/jpallard/google-store-ecommerce-data-fake-retail-data/data,Quantity,TRUE,FALSE
roccoli.gpx-hike-tracks,www.kaggle.com/roccoli/gpx-hike-tracks/data,moving_time,TRUE,FALSE
mchavoshi.grouplens-2018,www.kaggle.com/mchavoshi/grouplens-2018/data,,FALSE,FALSE
reginakhu.happiness,www.kaggle.com/reginakhu/happiness/data,Happiness.Score,TRUE,FALSE
rohitmathur100.happiness,www.kaggle.com/rohitmathur100/happiness/data,Happiness.Score,TRUE,FALSE
sohoooon.happiness,www.kaggle.com/sohoooon/happiness/data,Happiness.Score,TRUE,FALSE
gdaley.hkracing,www.kaggle.com/gdaley/hkracing/data,won,FALSE,TRUE
murderaccountability.homicide-reports,www.kaggle.com/murderaccountability/homicide-reports/data,,TRUE,TRUE
dheerajmpai.hospitals-and-beds-in-india,www.kaggle.com/dheerajmpai/hospitals-and-beds-in-india/data,,FALSE,FALSE
fifthtribe.how-isis-uses-twitter,www.kaggle.com/fifthtribe/how-isis-uses-twitter/data,,TRUE,TRUE
cbp.illegal-immigrants,www.kaggle.com/cbp/illegal-immigrants/data,,TRUE,TRUE
satkarjain.imdb-movie-19722019,www.kaggle.com/satkarjain/imdb-movie-19722019/data,Rating,TRUE,FALSE
martj42.international-football-results-from-1872-to-2017,www.kaggle.com/martj42/international-football-results-from-1872-to-2017/data,,TRUE,TRUE
mrisdal.minneapolis-incidents-crime,www.kaggle.com/mrisdal/minneapolis-incidents-crime/data,,TRUE,TRUE
asad1m9a9h6mood.news-articles,www.kaggle.com/asad1m9a9h6mood/news-articles/data,NewsType,FALSE,TRUE
septa.on-time-performance,www.kaggle.com/septa/on-time-performance/data,status,FALSE,TRUE
abcsds.pokemon,www.kaggle.com/abcsds/pokemon/data,,TRUE,TRUE
mlomuscio.pokemon,www.kaggle.com/mlomuscio/pokemon/data,Legendary,FALSE,TRUE
rounakbanik.pokemon,www.kaggle.com/rounakbanik/pokemon/data,is_legendary,FALSE,TRUE
shikhar1.pokemon,www.kaggle.com/shikhar1/pokemon/data,,TRUE,TRUE
yvonhk.pokemon,www.kaggle.com/yvonhk/pokemon/data,,TRUE,TRUE
terminus7.pokemon-challenge,www.kaggle.com/terminus7/pokemon-challenge/data,Winner,FALSE,TRUE
nhtsa.safety-recalls,www.kaggle.com/nhtsa/safety-recalls/data,,TRUE,TRUE
aaron7sun.stocknews,www.kaggle.com/aaron7sun/stocknews/data,Label,FALSE,TRUE
jmmvutu.summer-products-and-sales-in-ecommerce-wish,www.kaggle.com/jmmvutu/summer-products-and-sales-in-ecommerce-wish/data,units_sold,TRUE,FALSE
ali2020armor.taekwondo-techniques-classification,www.kaggle.com/ali2020armor/taekwondo-techniques-classification/data,,TRUE,TRUE
rajeevw.ufcdata,www.kaggle.com/rajeevw/ufcdata/data,Winner,FALSE,TRUE
sobhanmoosavi.us-accidents,www.kaggle.com/sobhanmoosavi/us-accidents/data,Severity,FALSE,TRUE
daithibhard.us-electoral-college-votes-per-state-17882020,www.kaggle.com/daithibhard/us-electoral-college-votes-per-state-17882020/data,,TRUE,TRUE
nicapotato.womens-ecommerce-clothing-reviews,www.kaggle.com/nicapotato/womens-ecommerce-clothing-reviews/data,Rating,TRUE,FALSE
timoboz.womens-ecommerce-clothing-reviews,www.kaggle.com/timoboz/womens-ecommerce-clothing-reviews/data,Rating,TRUE,FALSE
danevans.world-bank-wdi-212-health-systems,www.kaggle.com/danevans/world-bank-wdi-212-health-systems/data,,TRUE,TRUE
unsdsn.world-happiness,www.kaggle.com/unsdsn/world-happiness/data,Score,TRUE,FALSE
PromptCloudHQ.world-happiness-report-2019,www.kaggle.com/PromptCloudHQ/world-happiness-report-2019/data,,TRUE,TRUE
miroslavsabo.young-people-survey,www.kaggle.com/miroslavsabo/young-people-survey/data,,TRUE,TRUE
nxpnsv.country-health-indicators,www.kaggle.com/nxpnsv/country-health-indicators/data,,TRUE,TRUE
newzoel.covid-19-cssegisanddata,www.kaggle.com/newzoel/covid-19-cssegisanddata/data,,FALSE,FALSE
rohitrox.healthcare-provider-fraud-detection-analysis,www.kaggle.com/rohitrox/healthcare-provider-fraud-detection-analysis/data,,FALSE,FALSE
fec.independent-political-ad-spending,www.kaggle.com/fec/independent-political-ad-spending/data,expenditure_amount,TRUE,FALSE
regivm.retailtransactiondata,www.kaggle.com/regivm/retailtransactiondata/data,,FALSE,FALSE
adityadesai13.used-car-dataset-ford-and-mercedes,www.kaggle.com/adityadesai13/used-car-dataset-ford-and-mercedes/data,,FALSE,FALSE
moezabid.zillow-all-homes-data,www.kaggle.com/moezabid/zillow-all-homes-data/data,,TRUE,TRUE
unanimad.us-election-2020,www.kaggle.com/unanimad/us-election-2020/data,,FALSE,FALSE
tunguz.us-elections-dataset,www.kaggle.com/tunguz/us-elections-dataset/data,,FALSE,FALSE
home-depot-product-search-relevance,,relevance,TRUE,FALSE
liberty-mutual-group-property-inspection-prediction,,Hazard,TRUE,FALSE
machinery-tube-pricing,,cost,TRUE,FALSE
rossmann-store-sales,,Sales,TRUE,FALSE
bnp-paribas-cardif-claims-management,,target,FALSE,TRUE
crowdflower-search-relevance,,median_relevance,FALSE,TRUE
flavours-of-physics,,signal,FALSE,TRUE
predict-west-nile-virus,,WnvPresent,FALSE,TRUE
santander-customer-satisfaction,,TARGET,FALSE,TRUE
